candidate_size,avg_group_count,total_cov,avg_cov_per_group,alpha,beta,temp,avg_group_density
814500,86.13333333333334,0.04124669732850572,0.003826107766303889,0.0,0.0,1.0,8.004097012369043e-06
814500,83.36255371393493,0.09335551423818378,0.013142669574882984,0.1,0.0,1.0,0.00026557086895721686
814500,84.97176181706568,0.1854878168118211,0.05132944142595674,0.2,0.0,1.0,0.0025365014146312183
814500,86.46912216083487,0.22668558567374497,0.0831247732050445,0.3,0.0,1.0,0.009908391551615664
814500,87.26151012891344,0.37547705254917313,0.28578959317513847,0.4,0.0,1.0,0.021871308313885136
814500,86.20577041129528,0.38819845386045604,0.34640322280965047,0.5,0.0,1.0,0.012566954977991625
814500,85.50042971147944,0.3267442998336432,0.34491822966956026,0.6,0.0,1.0,0.00985997555957825
814500,84.468262737876,0.28931402289852237,0.32478152369085683,0.7,0.0,1.0,0.007836096467318868
814500,83.12031921424186,0.26514336040708486,0.30164547158791566,0.8,0.0,1.0,0.006709363747620394
814500,81.31663597298956,0.2224288090811234,0.26259952742226617,0.9,0.0,1.0,0.005930539473034321
814500,78.95371393492941,0.1392014874253841,0.18633031610701434,1.0,0.0,1.0,0.004424412362030377
814500,83.02234499693063,0.05558273803698992,0.00585059083283756,0.0,0.1,1.0,8.502523770250516e-05
814500,82.50067526089626,0.13729327722869164,0.031910355011801256,0.1,0.1,1.0,0.002756992305923678
814500,83.86973603437691,0.2093649085037675,0.07048668236766435,0.2,0.1,1.0,0.006127213200333198
814500,85.70178023327195,0.34856639592915156,0.23995992368958763,0.3,0.1,1.0,0.049583092664580115
814500,86.46973603437692,0.42964086505528915,0.35711472801908695,0.4,0.1,1.0,0.02203737262573409
814500,86.12277470841006,0.4383012036402779,0.4063605136690592,0.5,0.1,1.0,0.015976830039422237
814500,85.7975445058318,0.3958312946472258,0.4047179176574942,0.6,0.1,1.0,0.012862287473504638
814500,84.94696132596685,0.34181426754085525,0.37755354195977187,0.7,0.1,1.0,0.010257977717773216
814500,83.80159607120933,0.30340542127409725,0.3449995030617409,0.8,0.1,1.0,0.008093139175989599
814500,82.17949662369551,0.26538800273999413,0.3071191790413653,0.9,0.1,1.0,0.00707883425225969
814500,80.26850828729282,0.18695567080927683,0.23331794446665005,1.0,0.1,1.0,0.005547426958158006
814500,81.4817679558011,0.06487914668754281,0.008323046485327817,0.0,0.2,1.0,0.00036445858659852535
814500,81.94119091467158,0.1696839221058812,0.0514574021250861,0.1,0.2,1.0,0.004650173862537355
814500,83.27059545733579,0.24464233290928664,0.11446998421688037,0.2,0.2,1.0,0.0172001382882442
814500,85.13198281154082,0.40762305509345337,0.32592143019635916,0.3,0.2,1.0,0.03625629878768444
814500,85.78330263965623,0.4524415304824347,0.39950839781812436,0.4,0.2,1.0,0.021388150663714217
814500,85.80319214241867,0.4533222428809081,0.4310507156847495,0.5,0.2,1.0,0.016398059952202584
814500,85.61399631675874,0.4246990899305216,0.4325955250720915,0.6,0.2,1.0,0.013725206410152036
814500,85.06936771025168,0.3758195518152461,0.40963208206944324,0.7,0.2,1.0,0.011362857844538405
814500,84.18391651319828,0.3321264311576475,0.3736651674458044,0.8,0.2,1.0,0.009285011734222085
814500,82.91909146715777,0.29078187689597806,0.33373746901140483,0.9,0.2,1.0,0.00778756117201824
814500,81.38354818907305,0.22580487327527154,0.2668025268646763,1.0,0.2,1.0,0.006314508304409262
814500,80.30583179864948,0.09017516391036305,0.020327254050305454,0.0,0.3,1.0,0.0024087262411629025
814500,81.4390423572744,0.18597710147763968,0.07041839780114081,0.1,0.3,1.0,0.007286469023131084
814500,82.9062001227747,0.33829141794696155,0.24952327167748378,0.2,0.3,1.0,0.04313853079358664
814500,84.6354818907305,0.424209805264703,0.36583751016832117,0.3,0.3,1.0,0.027940373192261145
814500,85.46298342541436,0.4500440356199237,0.4139790841354902,0.4,0.3,1.0,0.020112518106750184
814500,85.71074278698588,0.4492122516880321,0.43544431458218785,0.5,0.3,1.0,0.01623388605681256
814500,85.60969920196439,0.4275858694588512,0.43803485531597597,0.6,0.3,1.0,0.013817567683355365
814500,85.14536525475752,0.39240630198649573,0.4231310476026424,0.7,0.3,1.0,0.011931817033138515
814500,84.44788213627993,0.34983853606027987,0.39043026153905885,0.8,0.3,1.0,0.010010807162070246
814500,83.48692449355433,0.3018886388100597,0.3440248025768231,0.9,0.3,1.0,0.00811371999295019
814500,82.18993247391037,0.24498483217535963,0.28544905937861215,1.0,0.3,1.0,0.006578243131246151
814500,79.61755678330265,0.11708582053038458,0.037509883272864704,0.0,0.4,1.0,0.0033371457426437413
814500,81.22271332105586,0.2174870339563558,0.11818424773638513,0.1,0.4,1.0,0.01684318217040889
