candidate_size,avg_group_count,total_cov,avg_cov_per_group,avg_group_density,pos_density
8145,0.8966236955187231,0.03283100107642627,0.032319667577494465,0.04294042879446757,0.08238182934315531
24435,2.663228974831185,0.08224875232410216,0.08776926262290224,0.06631063243751825,0.06879476161244118
48870,5.297237569060774,0.12853508171053918,0.13321484020183244,0.059803342914393126,0.0537548598322079
97740,10.541804788213629,0.19199530286720815,0.19448674586307496,0.048691496578358945,0.04014732965009208
179190,19.10914671577655,0.25090517663176437,0.25293865701057366,0.03196112781122016,0.028617668396673922
309510,32.79901780233272,0.31935610137978276,0.3130988184084415,0.025452641384898264,0.021088171626118705
496845,52.47906691221608,0.3872688129954007,0.3708967819370547,0.020769795917724657,0.01593052159124073
781920,82.37593615715163,0.4477443976905764,0.4256483979555832,0.016721134453607768,0.011703243298547166
1172880,123.48950276243094,0.4985321460025443,0.4715560362850764,0.013593483949350267,0.008687163222154013
1718595,180.98011049723758,0.5456502593208729,0.5153725783677833,0.010873611691433286,0.0064890215553984505
2443500,257.30632289748314,0.5894901653782171,0.5561600684448285,0.008750611186937983,0.004930632289748312
3396465,357.29330877839163,0.6277522262452295,0.5901441904785968,0.006899093170074657,0.003777456855878097
4626360,486.1964395334561,0.6643507192484588,0.6244979548291141,0.005405785851019778,0.002934920758436438
6190200,649.8133824432167,0.701634210783834,0.6597928052392799,0.004257655528471403,0.0023165648928952214
8145000,853.9749539594843,0.7432723358449946,0.7043249733447303,0.0034109227517607663,0.0018650705954573357
