candidate_size,avg_group_count,total_cov,avg_cov_per_group,avg_group_density,pos_density
8145,0.8541436464088398,0.017809961835796067,0.021687193730850974,0.021439974592666607,0.04468999386126458
24435,2.6209944751381213,0.05098346217829533,0.055145243871076166,0.03357215485430508,0.04264374872109679
48870,5.281031307550645,0.0921812310402192,0.09660668203934886,0.037449333547122134,0.0385512584407612
97740,10.562185389809699,0.15803894705939917,0.1639518718282617,0.0371176431644496,0.033046859013709844
179190,19.360712093308777,0.24082591251590174,0.25155285795154186,0.03345356579463523,0.027468050672470563
309510,33.45144260282382,0.3341814267540855,0.34564003452847286,0.02819276380363479,0.022067138380020033
496845,53.76157151626765,0.423182307466484,0.4333206920138288,0.02335435661235219,0.017407843492437278
781920,84.74622467771638,0.5114003327135728,0.5192344680035267,0.018778319933001903,0.013367096378146101
1172880,127.17114794352364,0.579900185928173,0.5838116873355461,0.015000027935763624,0.010105040583861946
1718595,186.38588090853284,0.6382718465603288,0.6380137602249383,0.0118069726496701,0.007590502707153227
2443500,264.80933087783916,0.6860260299442216,0.6836041494798827,0.009436341304294993,0.005738080622058522
3396465,367.585635359116,0.7240923769449066,0.7183508914277279,0.007653197910676276,0.004357177241632109
4626360,499.9524861878453,0.7576083765534788,0.75068069703118,0.005918301542098543,0.003346907720108249
6190200,667.6801718845918,0.7843233193071729,0.7749743926288788,0.004584072091696078,0.002589577073438661
8145000,876.5944751381215,0.8079068401996281,0.7982971762879482,0.0035893559051562536,0.002027255985267035
