candidate_size,avg_group_count,total_cov,avg_cov_per_group,avg_group_density,pos_density
8145,0.8807857581338244,0.013014972110774048,0.014555871564349369,0.015690840969568572,0.03265807243707796
24435,2.6958870472682626,0.03728349153537528,0.035652415295112386,0.024000976579328665,0.031184775936157153
48870,5.449600982197667,0.06536843135336139,0.060896721551663646,0.02476426461430406,0.027337835072641703
97740,10.971393492940454,0.11106761914081613,0.10022767865971167,0.02328493707184765,0.02322488234090444
179190,20.175936157151625,0.1616596535864566,0.14127428644634152,0.02131604842209127,0.018438528935766505
309510,34.846040515653776,0.21401311282904395,0.1842025521656462,0.019197638315556487,0.014132015120674614
496845,55.92584407612032,0.2617672962129367,0.2258467061118163,0.016914275309701705,0.010767945737604282
781920,87.83192142418662,0.30790684019962816,0.2664200798973472,0.014630409884807495,0.008048137916922448
1172880,131.5027624309392,0.3522849593893727,0.30416736658101423,0.012648785868355392,0.006138735420503376
1718595,192.182934315531,0.39446129758293375,0.3431562136408067,0.011017092226040946,0.004691041228445329
2443500,272.5548189073051,0.4362951365104218,0.38091724193396975,0.009323384868768637,0.0036492735829752403
3396465,377.8378146101903,0.4775418338389275,0.41897532517835023,0.007840767416574102,0.0028735759090701657
4626360,513.1851442602824,0.5164888932380859,0.4574503306662344,0.006477245861394156,0.0022817074330575226
6190200,684.6386740331492,0.5553870241706625,0.4966873132170527,0.005127935994456704,0.0018337048883719427
8145000,897.8578268876612,0.5950680105685487,0.5364291331392126,0.004054589567651103,0.0014931860036832413
