candidate_size,total_cov,avg_recall_per_group,pos_density
8145,0.02099031216361679,0.030848899412435325,0.05267034990791897
24435,0.06830413934827283,0.08607034974438289,0.05713116431348476
48870,0.1251100890498092,0.14637210719162838,0.05232248823409044
97740,0.20549955964380076,0.23563268155349187,0.042971147943523635
179190,0.2914668754281241,0.32901368788308283,0.03324404263630783
309510,0.3685292102945494,0.4119386836339254,0.02433523957222707
496845,0.43409335551423817,0.4750018892287133,0.01785667562318228
781920,0.495205010274978,0.5347124922348305,0.01294377941477389
1172880,0.5468245425188375,0.5813424388264796,0.009528681536048019
1718595,0.5958019375672766,0.6251648990386816,0.007085438977769631
2443500,0.638222918093747,0.662926774825475,0.005338244321669736
3396465,0.6745767687640669,0.695058533397891,0.004059220395322784
4626360,0.7068695567080928,0.7224835020288254,0.0031227574161976153
6190200,0.7353948527253156,0.7479036524061607,0.002428031404478046
8145000,0.7614247969468637,0.7712306907768349,0.0019106200122774707
