candidate_size,avg_group_count,total_cov,avg_cov_per_group,avg_group_density,pos_density
8145,0.8974831184775937,0.011644975046482044,0.008576478335799045,0.008246357135699876,0.029220380601596072
24435,2.714303253529773,0.044280262256580875,0.03301561946634452,0.020722013073202032,0.037037037037037035
48870,5.43732351135666,0.09169194637440063,0.07082425021511968,0.028484802593737552,0.03834663392674442
97740,10.866052793124616,0.1619042959193659,0.13131329500275404,0.033080670658829046,0.03385512584407612
179190,19.88717004297115,0.24752911243761622,0.209928603571705,0.03466115168599674,0.028232602265751437
309510,34.35592387968079,0.33829141794696155,0.2995979523269783,0.03181347825454549,0.022338535103873864
496845,55.16967464702272,0.41980624327233584,0.38460174960604326,0.026774968339967415,0.017268967182924252
781920,86.7963167587477,0.49858107446912614,0.4625918039988296,0.0214692693998108,0.013032023736443627
1172880,130.13308778391652,0.5638027204227419,0.5296359598735546,0.017320206906006046,0.009824534479230611
1718595,190.5233885819521,0.6210000978569331,0.5868400368441598,0.013524136123450893,0.0073851023655951515
2443500,270.4550030693677,0.6687542812408259,0.6382954672816524,0.01075300998557954,0.005593615715162676
3396465,375.19447513812156,0.7095116939035131,0.6806357674070794,0.008440217192836082,0.0042694389608018924
4626360,510.05623081645183,0.7451316175751052,0.7179120478659334,0.006619832970892205,0.00329178879291711
6190200,681.0246777163904,0.7757608376553479,0.750297892334927,0.005362066528713602,0.0025613065813705534
8145000,894.0664211172499,0.8020354242098052,0.7782168257799983,0.004184280087804573,0.002012523020257827
