alpha,beta,temp,total_cov,avg_recall_per_group
0.0,0.0,1.0,0.020225707166935367,0.01898521505376344
0.1,0.0,1.0,0.08955005129708339,0.08693910256410256
0.2,0.0,1.0,0.16942693829693684,0.16674421009098428
0.3,0.0,1.0,0.25399384434999267,0.2501809346567411
0.4,0.0,1.0,0.30441154917191854,0.2992659222497932
0.5,0.0,1.0,0.301480287263667,0.29595740281224153
0.6,0.0,1.0,0.16957350139234942,0.1666408188585608
0.7,0.0,1.0,0.023889784552249743,0.02465880893300248
0.8,0.0,1.0,0.0,0.0
0.9,0.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0,0.0
0.0,0.1,1.0,0.12384581562362597,0.12028277502067825
0.1,0.1,1.0,0.17690165616297815,0.1742659222497932
0.2,0.1,1.0,0.2563388538765939,0.2521712158808933
0.3,0.1,1.0,0.3205334896673018,0.3156275847808106
0.4,0.1,1.0,0.3699252528213396,0.3610163358147229
0.5,0.1,1.0,0.37461527187454197,0.3639629859387924
0.6,0.1,1.0,0.28301333724168254,0.2756151778329198
0.7,0.1,1.0,0.10479261321999121,0.10341708023159636
0.8,0.1,1.0,0.01832038692657189,0.019075682382133995
0.9,0.1,1.0,0.0,0.0
1.0,0.1,1.0,0.0,0.0
0.0,0.2,1.0,0.2054814597684303,0.20194892473118278
0.1,0.2,1.0,0.2619082515022717,0.2575992555831266
0.2,0.2,1.0,0.3284478968195808,0.3226064929693962
0.3,0.2,1.0,0.3773999706873809,0.3671164185277089
0.4,0.2,1.0,0.40231569690751867,0.390224358974359
0.5,0.2,1.0,0.41140260882309837,0.3994520264681555
0.6,0.2,1.0,0.3728565147295911,0.3618563895781638
0.7,0.2,1.0,0.21984464311886268,0.21239143920595532
0.8,0.2,1.0,0.07518686794665104,0.07472601323407775
0.9,0.2,1.0,0.016268503590795836,0.016904466501240695
1.0,0.2,1.0,0.0,0.0
0.0,0.3,1.0,0.2737798622306903,0.26749896608767576
0.1,0.3,1.0,0.3348966730177341,0.3278665219189413
0.2,0.3,1.0,0.3778396599736186,0.36715519023986765
0.3,0.3,1.0,0.40612633738824566,0.3937525847808106
0.4,0.3,1.0,0.42430016121940495,0.41141956162117455
0.5,0.3,1.0,0.43294738384874687,0.4198847187758478
0.6,0.3,1.0,0.4065660266744834,0.39527760545905705
0.7,0.3,1.0,0.3108603253700718,0.3002222911497105
0.8,0.3,1.0,0.16121940495383263,0.15570719602977667
0.9,0.3,1.0,0.05847867506961747,0.057847394540942926
1.0,0.3,1.0,0.01172504763300601,0.011941687344913151
0.0,0.4,1.0,0.34178513850212516,0.3324286600496278
0.1,0.4,1.0,0.3769602814011432,0.3661083540115798
0.2,0.4,1.0,0.4043675802432947,0.39164598842018195
0.3,0.4,1.0,0.4234207826469295,0.41017886683209265
0.4,0.4,1.0,0.43587864575699836,0.42219809760132343
0.5,0.4,1.0,0.4338267624212223,0.42033705541770056
0.6,0.4,1.0,0.41316136596804925,0.4012742969396195
0.7,0.4,1.0,0.33460354682690896,0.3231751447477254
0.8,0.4,1.0,0.22834530265279201,0.21934449958643507
0.9,0.4,1.0,0.11168107870438224,0.10814722911497104
1.0,0.4,1.0,0.04675362743661146,0.04575062034739454
0.0,0.5,1.0,0.3728565147295911,0.3611197270471464
0.1,0.5,1.0,0.39821193023596657,0.38554590570719605
0.2,0.5,1.0,0.4144804338267624,0.4015198511166253
0.3,0.5,1.0,0.42620548145976844,0.4125568651778329
0.4,0.5,1.0,0.4339733255166349,0.42018196856906537
0.5,0.5,1.0,0.4244467243148175,0.4108767576509512
0.6,0.5,1.0,0.39322878499193903,0.38032464846980973
0.7,0.5,1.0,0.3334310420636084,0.3207971464019851
0.8,0.5,1.0,0.2664517074600616,0.255479735318445
0.9,0.5,1.0,0.1773413454492159,0.169639164598842
1.0,0.5,1.0,0.09277443939616005,0.09031224152191894
0.0,0.6,1.0,0.3828228052176462,0.3701923076923077
0.1,0.6,1.0,0.39821193023596657,0.38495140612076095
0.2,0.6,1.0,0.4072988421515462,0.393868899917287
0.3,0.6,1.0,0.41198886120474865,0.39849565756823824
0.4,0.6,1.0,0.4015828814304558,0.3880272952853598
0.5,0.6,1.0,0.3864868826029606,0.373177729528536
0.6,0.6,1.0,0.35951927304704673,0.34607630272952855
0.7,0.6,1.0,0.3199472372856515,0.307227047146402
0.8,0.6,1.0,0.2761248717572915,0.2645264681555004
0.9,0.6,1.0,0.22233621574087645,0.21275330851943755
1.0,0.6,1.0,0.1530118716107284,0.14523883374689825
0.0,0.7,1.0,0.3444232742195515,0.3307485525227461
0.1,0.7,1.0,0.3479407885094533,0.3344318651778329
0.2,0.7,1.0,0.3464751575553276,0.33272590984284534
0.3,0.7,1.0,0.3433973325516635,0.3300118899917287
0.4,0.7,1.0,0.3351897992085593,0.32180521091811415
0.5,0.7,1.0,0.3203869265718892,0.30689102564102566
0.6,0.7,1.0,0.3030924813132053,0.29016749379652607
0.7,0.7,1.0,0.2809614539059065,0.2686104218362283
0.8,0.7,1.0,0.2573647955444819,0.24599358974358973
0.9,0.7,1.0,0.2249743514583028,0.21510545905707196
1.0,0.7,1.0,0.18217792759783086,0.17341294458229942
0.0,0.8,1.0,0.24695881577018908,0.23624896608767576
0.1,0.8,1.0,0.24461380624358786,0.23361248966087675
0.2,0.8,1.0,0.24007035028579804,0.22919251447477254
0.3,0.8,1.0,0.23347501099223217,0.22267886683209265
0.4,0.8,1.0,0.22600029312619083,0.21507961124896607
0.5,0.8,1.0,0.21662025501978602,0.2061104218362283
0.6,0.8,1.0,0.2066539645317309,0.19657258064516128
0.7,0.8,1.0,0.1930235966583614,0.1832609594706369
0.8,0.8,1.0,0.1801260442620548,0.1707764681555004
0.9,0.8,1.0,0.17030631686941228,0.1611610835401158
1.0,0.8,1.0,0.15183936684742783,0.142860835401158
0.0,0.9,1.0,0.10010259416678881,0.09486145574855252
0.1,0.9,1.0,0.09761102154477502,0.09245760959470636
0.2,0.9,1.0,0.0942400703502858,0.08920078577336642
0.3,0.9,1.0,0.09057599296497142,0.08565963606286187
0.4,0.9,1.0,0.08764473105671992,0.08310070306038048
0.5,0.9,1.0,0.08456690605305583,0.08038668320926386
0.6,0.9,1.0,0.08031657628609117,0.07627688172043011
0.7,0.9,1.0,0.07694562509160194,0.07286497105045492
0.8,0.9,1.0,0.07445405246958815,0.07084884201819686
0.9,0.9,1.0,0.07181591675216181,0.0684449958643507
1.0,0.9,1.0,0.0688846548439103,0.06560173697270472
0.0,1.0,1.0,0.021398211930235965,0.020781637717121586
0.1,1.0,1.0,0.021398211930235965,0.020781637717121586
0.2,1.0,1.0,0.021398211930235965,0.020781637717121586
0.3,1.0,1.0,0.021398211930235965,0.020781637717121586
0.4,1.0,1.0,0.021398211930235965,0.020781637717121586
0.5,1.0,1.0,0.021398211930235965,0.020781637717121586
0.6,1.0,1.0,0.021398211930235965,0.020781637717121586
0.7,1.0,1.0,0.021398211930235965,0.020781637717121586
0.8,1.0,1.0,0.021398211930235965,0.020781637717121586
0.9,1.0,1.0,0.021398211930235965,0.020781637717121586
1.0,1.0,1.0,0.021398211930235965,0.020781637717121586
