candidate_size,total_cov,avg_recall_per_group,pos_density
6448,0.001319067858713176,0.0012406947890818859,0.0013957816377171215
19344,0.017587571449509013,0.017809139784946238,0.00620347394540943
38688,0.043675802432947386,0.043682795698924734,0.007702646815550041
77376,0.07738531437783966,0.07333023159636062,0.006823821339950372
141856,0.14788216327128828,0.14270574855252274,0.007112846830588766
245024,0.23655283599589624,0.22787427626137305,0.006587109834138696
393328,0.3586398944745713,0.34722653019023986,0.006221270796892161
619008,0.43104206360838343,0.41723531844499584,0.004751150227460712
928512,0.46328594459914996,0.4487437965260546,0.0034043717259443066
1360528,0.47852850652205775,0.4633736559139785,0.0023998036056589794
1934400,0.4909863696321266,0.47566428866832094,0.0017318031430934658
2688816,0.5013923494064194,0.4859775641025641,0.0012723072162617302
3662464,0.514289901802726,0.49874638130686516,0.0009580981546849334
4900480,0.5235233768137183,0.508129135649297,0.000728908188585608
6448000,0.5330499780155357,0.5178996071133168,0.0005640508684863524
