candidate_size,avg_group_count,total_cov,avg_cov_per_group,avg_group_density,pos_density
6448,0.9818548387096774,0.009526601201817383,0.008452233250620347,0.002094917785145489,0.010080645161290322
19344,2.943393300248139,0.023596658361424595,0.022603908188585608,0.0017599466216892804,0.008322994210090985
38688,5.895006203473946,0.03151106551370365,0.030177315963606285,0.0013775472318894935,0.005557278742762614
77376,11.785204714640198,0.03693390004396893,0.03495916046319272,0.0009587905313188891,0.0032568238213399503
141856,21.575372208436725,0.04558112267331086,0.04294613316790736,0.000722411682468791,0.002192364087525378
245024,37.179590570719604,0.05994430602374322,0.055482320099255585,0.000559730517043575,0.001669224239258195
393328,59.569944168734494,0.07635937270995163,0.06975031017369727,0.0004862392226902972,0.0013245942317861937
619008,93.42881513647643,0.10274072988421515,0.09316842431761786,0.0005097034793059117,0.0011324570926385443
928512,139.65586228287842,0.13029459182177927,0.11874483043837883,0.00047950024949361647,0.0009574458919216984
1360528,203.84832506203475,0.16092627876300747,0.14753928866832092,0.00043018213445563443,0.0008070396199122694
1934400,289.10189205955334,0.19067858713176022,0.17638544251447477,0.00045839898902761696,0.0006725599669148056
2688816,400.5457506203474,0.2255606038399531,0.20872105045492143,0.0004461881387172061,0.0005723708874091793
3662464,543.7017679900745,0.25692510625824416,0.24072063688999173,0.000442302304228578,0.00047863951700276097
4900480,724.6102667493797,0.29166055987102446,0.2754730148883375,0.0003851284511991383,0.0004060826694527883
6448000,949.8207196029776,0.32199912062142755,0.3058441894127378,0.0003505686260872906,0.0003407258064516129
