candidate_size,avg_group_count,total_cov,avg_cov_per_group,avg_group_density,pos_density
8145,0.9388581952117864,0.0007828554653097172,0.0001497748486872501,0.0002945478764199238,0.0019643953345610805
24435,2.805524861878453,0.003327135727566298,0.0012959733061195934,0.0010935596580805445,0.002782893390628197
48870,5.588704726826274,0.00914962325080732,0.003760949831435255,0.0014153884902556103,0.0038264784121137714
97740,11.143278084714549,0.018739602700851354,0.008852623013867232,0.001882095755974779,0.003918559443421322
179190,20.36427255985267,0.03214600254428026,0.01652593004433549,0.002124649974942578,0.003666499246609744
309510,34.97728667894414,0.047998825716802036,0.028226274484351218,0.002021574628028611,0.0031695260250072695
496845,55.82627378759975,0.06928270867990997,0.04527015816058714,0.0021476520822840683,0.0028499833952238627
781920,87.59103744628607,0.10191799589000881,0.07701743789690198,0.002731951253808432,0.0026639553918559444
1172880,131.2791896869245,0.1377825618945102,0.11364987414931652,0.002976189699503829,0.0024009276311302095
1718595,192.1915285451197,0.17863783149036108,0.1552770498562926,0.0032862123783256965,0.0021244097649533483
2443500,272.57335788827504,0.22233095214795967,0.20261592931054054,0.0038750318348548364,0.0018596275833844896
3396465,378.02406384284836,0.26426264800861143,0.24547257167958453,0.004079095676368923,0.0015901827341073733
4626360,513.978146101903,0.3036011351404247,0.2849081269796005,0.004481261355847214,0.001341227228317727
6190200,687.1720073664825,0.33907427341227125,0.31971110701246863,0.003940788037966765,0.0011195114858970632
8145000,903.9518723143033,0.3705352774244055,0.34501000363996953,0.003127918156906032,0.0009297728667894414
