candidate_size,avg_group_count,total_cov,avg_cov_per_group,alpha,beta,temp,avg_group_density
814500,93.66666666666667,0.05059203444564048,0.004983574673860761,0.0,0.0,1.0,1.0262629094641412e-05
814500,94.9621853898097,0.051179176044622764,0.005410220510494631,0.1,0.0,1.0,1.8207480588984556e-05
814500,95.2390423572744,0.03332028574224484,0.004305916920569568,0.2,0.0,1.0,1.991260074380778e-05
814500,93.9025168815224,0.01590175163910363,0.0030678101453445396,0.3,0.0,1.0,0.00010911490446466576
814500,91.9560466543892,0.0057735590566591645,0.0014766343936921486,0.4,0.0,1.0,4.645426734792966e-05
814500,88.5244935543278,0.0010274977982190037,0.0005682061199653524,0.5,0.0,1.0,8.24348165177894e-05
814500,86.6572130141191,0.0002446423329092866,0.0003887865766318805,0.6,0.0,1.0,8.591301439337381e-05
814500,85.55015346838552,9.785693316371466e-05,0.00024554941682013506,0.7,0.0,1.0,7.392615565889133e-07
814500,84.75776550030693,4.892846658185733e-05,0.00012277470841006753,0.8,0.0,1.0,4.176010490138351e-07
814500,82.97814610190301,0.0,0.0,0.9,0.0,1.0,0.0
814500,78.94536525475752,0.0,0.0,1.0,0.0,1.0,0.0
814500,95.86494782074892,0.058812016831392505,0.0060888423773949795,0.0,0.1,1.0,4.779321850359473e-05
814500,96.46924493554327,0.056218808102554065,0.006246717416648069,0.1,0.1,1.0,0.00020461916945929107
814500,96.16390423572744,0.044329190723162736,0.00674512103896675,0.2,0.1,1.0,0.0011740771305065506
814500,94.93627992633517,0.02598101575496624,0.005863721354407717,0.3,0.1,1.0,0.0007247555797029477
814500,93.2926949048496,0.010715334181426754,0.003483860218368143,0.4,0.1,1.0,0.00011862892053498806
814500,90.50472682627378,0.003180350327820726,0.0013904389580458205,0.5,0.1,1.0,6.892669387238564e-05
814500,88.70030693677103,0.0004892846658185732,0.0005453243298547166,0.6,0.1,1.0,0.00011206754783012375
814500,87.6780847145488,0.0002446423329092866,0.0003887865766318805,0.7,0.1,1.0,7.530587968313329e-05
814500,86.97274401473297,0.0001957138663274293,0.00036832412523020257,0.8,0.1,1.0,5.630150318120081e-05
814500,85.75567833026396,4.892846658185733e-05,0.00012277470841006753,0.9,0.1,1.0,5.580668564093979e-07
814500,81.48667894413751,0.0,0.0,1.0,0.1,1.0,0.0
814500,97.16660527931246,0.06556414521968881,0.00798528090204909,0.0,0.2,1.0,0.0008438811016690771
814500,96.76783302639656,0.0664937860847441,0.010636898236555998,0.1,0.2,1.0,0.0017468245591548692
814500,95.92412523020258,0.05631666503571778,0.011213376267228537,0.2,0.2,1.0,0.0012954015930698812
814500,94.40073664825046,0.03552206673842842,0.00996015890482899,0.3,0.2,1.0,0.0006733059991828787
814500,92.69318600368324,0.017222820236813777,0.007229440695822622,0.4,0.2,1.0,0.0003243907585357687
814500,90.68717004297115,0.0068499853214600255,0.004329052118955873,0.5,0.2,1.0,0.00017064358087590545
814500,89.27599754450583,0.002984636461493297,0.002541760837534803,0.6,0.2,1.0,0.00011785734839044283
814500,88.40061387354206,0.001369997064292005,0.0012148849717910492,0.7,0.2,1.0,4.221470119445424e-05
814500,87.7134438305709,0.0003914277326548586,0.000561694290976059,0.8,0.2,1.0,2.3382757361373944e-05
814500,86.41645181092694,0.00014678539974557198,0.00024554941682013506,0.9,0.2,1.0,3.2143352100667173e-06
814500,83.56906077348066,4.892846658185733e-05,0.00012277470841006753,1.0,0.2,1.0,1.1368028556487734e-06
814500,96.59324739103745,0.08709267051570604,0.01915138905455093,0.0,0.3,1.0,0.0017845287239664858
814500,96.0305709023941,0.08391232018788532,0.02082678970251729,0.1,0.3,1.0,0.0017491997248564332
814500,94.70128913443831,0.06825521088169097,0.019982449628366632,0.2,0.3,1.0,0.0012302376927375077
814500,92.61068139963167,0.045405616987963596,0.020196359396465875,0.3,0.3,1.0,0.0009138443899136266
814500,90.98232044198895,0.03571778060475585,0.029082254777276835,0.4,0.3,1.0,0.001372465618135648
814500,89.72694904849601,0.02456209022409238,0.02767992734898603,0.5,0.3,1.0,0.001185099588898258
814500,88.624554941682,0.018152461101869067,0.022026582025128114,0.6,0.3,1.0,0.0008369671896400945
814500,87.76427255985267,0.008464624718661317,0.010163314279336378,0.7,0.3,1.0,0.0002942034839929237
814500,87.0256599140577,0.002397494862511009,0.0026851121050016076,0.8,0.3,1.0,4.940048171566005e-05
814500,85.77790055248619,0.0003914277326548586,0.000561694290976059,0.9,0.3,1.0,7.686522874694995e-06
814500,83.85402087170043,4.892846658185733e-05,0.00012277470841006753,1.0,0.3,1.0,1.3345077001094295e-06
814500,95.16414978514426,0.09868871709560623,0.031418444318952334,0.0,0.4,1.0,0.0018568620228071875
814500,94.34106813996317,0.09247480183971034,0.03367581512259697,0.1,0.4,1.0,0.0017776397958602726
814500,92.52645794966237,0.07676876406693414,0.040599205083418216,0.2,0.4,1.0,0.001679159599185904
814500,90.73627992633517,0.06629807221841667,0.05369388907974947,0.3,0.4,1.0,0.0020498012563878
814500,89.47022713321056,0.05651237890204521,0.05774429208905999,0.4,0.4,1.0,0.001906683948967134
814500,88.49686924493554,0.04134455426166944,0.04790362334098317,0.5,0.4,1.0,0.0014484911557553104
814500,87.69969306322898,0.029601722282023683,0.03616608722356517,0.6,0.4,1.0,0.0010400356664793924
814500,87.1512584407612,0.020549955964380077,0.02678228394618818,0.7,0.4,1.0,0.000749954504155185
814500,86.47366482504604,0.01277032977786476,0.016401584909872202,0.8,0.4,1.0,0.0004079182781652576
814500,85.32338858195212,0.0027889225951658676,0.0030215732701920545,0.9,0.4,1.0,4.737931908814906e-05
814500,83.92903621853898,0.0002446423329092866,0.0004910988336402701,1.0,0.4,1.0,6.3877570323479985e-06
814500,93.31295273173727,0.10064585575888052,0.048824108595336764,0.0,0.5,1.0,0.002242750239792079
814500,92.00417434008594,0.10049907035913494,0.06480830835689481,0.1,0.5,1.0,0.0025251289641460583
814500,90.71062001227747,0.09433408356982093,0.08064263101711927,0.2,0.5,1.0,0.0027106388170682954
814500,89.7062001227747,0.08366767785497603,0.08312621226550289,0.3,0.5,1.0,0.0026154053171217645
814500,88.91872314303254,0.07026127801154712,0.07784561742317418,0.4,0.5,1.0,0.0022406966320110376
814500,88.17225291589932,0.05558273803698992,0.06615095780181675,0.5,0.5,1.0,0.0017300102688777817
814500,87.57753222836095,0.041393482728251295,0.05163683887901199,0.6,0.5,1.0,0.0012640775986134706
814500,87.07734806629834,0.026666014287112242,0.03380718524364933,0.7,0.5,1.0,0.0007738387857462896
814500,86.60896255371394,0.015314610040121343,0.019714455791803857,0.8,0.5,1.0,0.00043632368490167467
814500,85.76022099447513,0.005528916723749878,0.006332397906983542,0.9,0.5,1.0,0.000101389141309119
814500,84.63916513198281,0.0005871415989822879,0.0008952322488234091,1.0,0.5,1.0,1.0746822659938016e-05
814500,91.24407612031922,0.10514727468441139,0.08063702938931581,0.0,0.6,1.0,0.0027393402528017997
814500,90.50141190914671,0.10367942068695567,0.09237435491369198,0.1,0.6,1.0,0.0029327780881891804
814500,89.78870472682627,0.09638907916625893,0.09466409176283776,0.2,0.6,1.0,0.002791650213465954
814500,89.20626151012891,0.08489088951952246,0.08919082249365591,0.3,0.6,1.0,0.0024475248878820014
814500,88.65659914057704,0.07202270280849399,0.08139764189361086,0.4,0.6,1.0,0.0022006228943678157
814500,88.1414364640884,0.05851844603190136,0.07000576004719651,0.5,0.6,1.0,0.0017638342223515212
814500,87.70558624923265,0.04457383305607202,0.05519331480197042,0.6,0.6,1.0,0.0012639689275836664
814500,87.30963781461018,0.030482434680497113,0.03788374847306707,0.7,0.6,1.0,0.0007948230813878528
814500,86.90030693677103,0.01810353263528721,0.023329976073990805,0.8,0.6,1.0,0.0004405443629762831
814500,86.29109883364028,0.00714355612095117,0.00841538244853162,0.9,0.6,1.0,0.0001357985218815624
814500,85.45807243707796,0.0024464233290928663,0.0025231664181940426,1.0,0.6,1.0,3.5227852652609684e-05
814500,90.05930018416207,0.09707407769840493,0.08969571971938248,0.0,0.7,1.0,0.0025600852703597477
814500,89.6060159607121,0.09448086896956649,0.0935689631380821,0.1,0.7,1.0,0.0026168041498853124
814500,89.17397176181707,0.08582053038457775,0.08992635860141832,0.2,0.7,1.0,0.0024695697358600435
814500,88.74352363413136,0.07676876406693414,0.0839491778758922,0.3,0.7,1.0,0.002202520905435156
814500,88.32940454266421,0.06561307368627067,0.07546577816835644,0.4,0.7,1.0,0.0018858332664361314
814500,87.97421731123389,0.054457383305607204,0.06477526514819333,0.5,0.7,1.0,0.0015664069388404637
814500,87.64591774094536,0.042176338193561015,0.05130376819142933,0.6,0.7,1.0,0.0011445756224114291
814500,87.29920196439534,0.03053136314707897,0.0381200454957361,0.7,0.7,1.0,0.0007696355138951816
814500,86.94610190300799,0.01883745963401507,0.022903914174632407,0.8,0.7,1.0,0.00041066501826061746
814500,86.49674647022714,0.009541050983462179,0.011495127544851302,0.9,0.7,1.0,0.00015554626882913772
814500,85.99693063228975,0.0033760641941481553,0.003519833961822912,1.0,0.7,1.0,4.525768626686351e-05
814500,89.04947820748926,0.07760054799882572,0.07884433806558368,0.0,0.8,1.0,0.0020409558469523387
814500,88.76243093922652,0.07236520207456698,0.07669460450055676,0.1,0.8,1.0,0.002036700190749996
814500,88.44886433394721,0.06703199921714453,0.07389531159788987,0.2,0.8,1.0,0.0019103400062051132
814500,88.17237569060774,0.059937371562775225,0.06776868840865158,0.3,0.8,1.0,0.0017177689459001073
