alpha,beta,temp,total_cov,avg_recall_per_group
0.0,0.0,1.0,0.10035228495938937,0.13839104304803593
0.1,0.0,1.0,0.12975829337508563,0.18181687290424686
0.2,0.0,1.0,0.16914570897348077,0.23409527712022982
0.30000000000000004,0.0,1.0,0.23656913592328016,0.30304220832045986
0.4,0.0,1.0,0.34651140033271355,0.3753286929038573
0.5,0.0,1.0,0.3614835111067619,0.36530256843270054
0.6000000000000001,0.0,1.0,0.24429983364321362,0.2340467268080628
0.7000000000000001,0.0,1.0,0.16141501125354732,0.1214536925014399
0.8,0.0,1.0,0.10940405127703298,0.06532557842065159
0.9,0.0,1.0,0.060279870828848225,0.029843196804157496
1.0,0.0,1.0,0.017076034837068207,0.008940891208992401
0.0,0.1,1.0,0.1359722086309815,0.19035181453311115
0.1,0.1,1.0,0.17110284763675507,0.23934340101088544
0.2,0.1,1.0,0.23578628045797045,0.30573102253341705
0.30000000000000004,0.1,1.0,0.32214502397494865,0.3706446721188938
0.4,0.1,1.0,0.4006262843722478,0.4291634435540028
0.5,0.1,1.0,0.418044818475389,0.4266452288285477
0.6000000000000001,0.1,1.0,0.3536060279870829,0.33881420285761354
0.7000000000000001,0.1,1.0,0.2036402779136902,0.17471107401995872
0.8,0.1,1.0,0.1436539778843331,0.10326349079660663
0.9,0.1,1.0,0.08420589098737645,0.04875963293979552
1.0,0.1,1.0,0.03787063313435757,0.0177159447334319
0.0,0.2,1.0,0.1898424503376064,0.25795444483371566
0.1,0.2,1.0,0.2220863098150504,0.29418206301291006
0.2,0.2,1.0,0.3001272140131128,0.3594616239418213
0.30000000000000004,0.2,1.0,0.3886877385262746,0.441112636466805
0.4,0.2,1.0,0.43800763284078675,0.477261433206221
0.5,0.2,1.0,0.453713670613563,0.47750056889548276
0.6000000000000001,0.2,1.0,0.4306194343869263,0.4280942604872344
0.7000000000000001,0.2,1.0,0.32175359624229377,0.29636889539172784
0.8,0.2,1.0,0.1733535570995205,0.1413598709846634
0.9,0.2,1.0,0.11116547607397984,0.07440802447954964
1.0,0.2,1.0,0.04927096584793032,0.02753948835918374
0.0,0.30000000000000004,1.0,0.21753596242293766,0.2894983376938256
0.1,0.30000000000000004,1.0,0.29185830316077893,0.3622719039567213
0.2,0.30000000000000004,1.0,0.37635776494764656,0.44106681679617227
0.30000000000000004,0.30000000000000004,1.0,0.4290537234563069,0.48823428856544304
0.4,0.30000000000000004,1.0,0.462276152265388,0.5116734911486404
0.5,0.30000000000000004,1.0,0.4754379097759076,0.5091762355098505
0.6000000000000001,0.30000000000000004,1.0,0.4683922105881202,0.4812865986331361
0.7000000000000001,0.30000000000000004,1.0,0.40830805362559935,0.396135945927253
0.8,0.30000000000000004,1.0,0.26861728153439673,0.23826564817994675
0.9,0.30000000000000004,1.0,0.14120755455524023,0.11261149622438243
1.0,0.30000000000000004,1.0,0.07701340639984343,0.05083322231343234
0.0,0.4,1.0,0.2847147470398278,0.36161431120943077
0.1,0.4,1.0,0.35453566885213816,0.424145322880372
0.2,0.4,1.0,0.4020941383697035,0.47041474098837405
0.30000000000000004,0.4,1.0,0.4370290635091496,0.4999951787395027
0.4,0.4,1.0,0.46212936686564243,0.5193782799193434
0.5,0.4,1.0,0.4779821900381642,0.5218135769686578
0.6000000000000001,0.4,1.0,0.47763969077209123,0.5060515702266861
0.7000000000000001,0.4,1.0,0.4415304824346805,0.45030396589117955
0.8,0.4,1.0,0.3563460221156669,0.345736050696371
0.9,0.4,1.0,0.2123495449652608,0.18701565957936747
1.0,0.4,1.0,0.10730012721401311,0.08501699073683754
0.0,0.5,1.0,0.3243468049711322,0.39737557560735426
0.1,0.5,1.0,0.3690184949603679,0.43935601969327875
0.2,0.5,1.0,0.40273020843526763,0.471000028702017
0.30000000000000004,0.5,1.0,0.42660730012721404,0.49197885258020874
0.4,0.5,1.0,0.44387904883060963,0.5058936401056344
0.5,0.5,1.0,0.4532243859477444,0.5071517716618573
0.6000000000000001,0.5,1.0,0.45072903415206966,0.49340535038052863
0.7000000000000001,0.5,1.0,0.4208826695371367,0.4508459143855007
0.8,0.5,1.0,0.3614835111067619,0.37596244801738626
0.9,0.5,1.0,0.26891085233388784,0.2684346851544321
1.0,0.5,1.0,0.15314610040121343,0.14111207465353912
0.0,0.6000000000000001,1.0,0.3333496428221939,0.4039781110833761
0.1,0.6000000000000001,1.0,0.3619727957725805,0.43182745702516573
0.2,0.6000000000000001,1.0,0.38413739113416184,0.4526858537825071
0.30000000000000004,0.6000000000000001,1.0,0.3974948625110089,0.4638461032801897
0.4,0.6000000000000001,1.0,0.40356199236715923,0.4669640002765059
0.5,0.6000000000000001,1.0,0.4007241413054115,0.4603632801140013
0.6000000000000001,0.6000000000000001,1.0,0.3863391721303454,0.44020003548277026
0.7000000000000001,0.6000000000000001,1.0,0.353214600254428,0.3980151427569888
0.8,0.6000000000000001,1.0,0.3044818475388981,0.3389979407289564
0.9,0.6000000000000001,1.0,0.2381348468538996,0.26041543192862393
1.0,0.6000000000000001,1.0,0.15246110186906742,0.16588006909242356
0.0,0.7000000000000001,1.0,0.3060964869360994,0.374865297316349
0.1,0.7000000000000001,1.0,0.3171053919170173,0.38381417128770157
0.2,0.7000000000000001,1.0,0.32478716117036893,0.3897188749381162
0.30000000000000004,0.7000000000000001,1.0,0.3274292983657892,0.39018823573896866
