candidate_size,total_cov,avg_recall_per_group,pos_density
8145,0.023338878559545945,0.03755937432733013,0.05856353591160221
24435,0.061356297093649086,0.0912343818789491,0.05131982811540822
48870,0.10059692729229866,0.14149798431566388,0.0420708000818498
97740,0.15931108719052745,0.2100289475260397,0.033312870881931654
179190,0.24126626871513845,0.2878624937945009,0.027518276689547407
309510,0.3310010764262648,0.3751374747580332,0.02185712901037123
496845,0.4077209120266171,0.4532749061310848,0.016771830248870374
781920,0.471866131715432,0.5159636025719939,0.012333742582361367
1172880,0.5265192288873667,0.5655572980404843,0.009174851647227337
1718595,0.5763284078676975,0.6059474356441892,0.006853854456692822
2443500,0.6202661708582053,0.6438243279381192,0.0051880499283814205
3396465,0.6571093061943438,0.6738191334909335,0.00395411111258323
4626360,0.6908210196692436,0.7022694727130275,0.0030518593451439144
6190200,0.7174870339563558,0.7256449143331726,0.0023689056896384606
8145000,0.7445444759761229,0.7502547642955314,0.0018682627378759976
