candidate_size,avg_group_count,total_cov,avg_cov_per_group,avg_group_density,pos_density
8145,0.9155310006138736,0.0242195909580193,0.015858874194816,0.0147450672373449,0.0607734806629834
24435,2.748925721301412,0.0704569918778745,0.0592666933208239,0.0393267312876261,0.0589318600368324
48870,5.484591774094537,0.1450729034152069,0.1364742295251496,0.0635746203403081,0.060671168405975
97740,10.952363413136894,0.2582444466190429,0.2472075278498597,0.070148243640421,0.054000409249028
179190,20.0877839165132,0.3694588511596046,0.3484553779362938,0.0612380615208781,0.0421396283274736
309510,34.676611418047884,0.4661415011253547,0.4361288195662642,0.0500140992631431,0.0307809117637556
496845,55.58453038674033,0.5472159702514923,0.5140573080253831,0.0392402124997357,0.0225100383419376
781920,87.28078575813383,0.6126822585380174,0.578391565703641,0.0300030409312038,0.0160144260282381
1172880,130.5462246777164,0.6677267834426069,0.6356016767001501,0.0237302312065766,0.0116354614282791
1718595,190.5546961325967,0.7149916821606811,0.6841867505630016,0.0184678286353241,0.0085028758957171
2443500,270.02467771639044,0.7540855269595851,0.7255809344440043,0.0144725122599393,0.0063073460200532
3396465,373.9233885819521,0.7880418827673941,0.7591972731882726,0.010977394599525,0.0047419890974881
4626360,507.3907918968693,0.8157353948527253,0.7866601634827645,0.0085855440297028,0.0036036970750222
6190200,676.2399017802333,0.8434778354046384,0.8182343195936442,0.006667292304594,0.002784885787212
8145000,886.2011049723757,0.8640767198356003,0.839473371988647,0.0053016617403519,0.0021682013505217
