candidate_size,avg_group_count,total_cov,avg_cov_per_group,avg_group_density,pos_density
1045,1.0,0.016958424507658644,0.0025761373129794185,0.00024311256651620382,0.02966507177033493
3135,2.9645933014354067,0.04048140043763676,0.009521910837700312,0.0005906140141729181,0.023604465709728868
6270,5.842105263157895,0.07275711159737418,0.022495253284726967,0.0020434879040146193,0.021212121212121213
12540,11.50334928229665,0.13785557986870897,0.06796422875370244,0.007243627679127561,0.020095693779904306
22990,20.928229665071772,0.21334792122538293,0.13125199362041468,0.013919467407561788,0.016963897346672467
39710,36.10909090909091,0.3200218818380744,0.24397243107769423,0.01816166782234243,0.014731805590531352
63745,58.13588516746412,0.4141137855579869,0.3399008885850991,0.016185395006697384,0.011875441211075378
100320,91.9578947368421,0.49015317286652077,0.4170961494645705,0.011191173088433143,0.008931419457735247
150480,138.48133971291867,0.5514223194748359,0.4852711323763955,0.007672519058881735,0.0066985645933014355
220495,203.58373205741626,0.611597374179431,0.5528081567555252,0.005520472665100908,0.0050704097598585005
313500,290.2287081339713,0.662472647702407,0.6119719753930281,0.004512988826943678,0.0038628389154704945
435765,404.16076555023926,0.712800875273523,0.6655923900660743,0.003435645382331934,0.002990143770151343
593560,551.3033492822966,0.7587527352297593,0.7187821827295512,0.0026319360719816672,0.0023367477592829704
794200,738.4086124401914,0.799781181619256,0.7650341763499658,0.002059087424913164,0.0018408461344749433
1045000,972.2296650717703,0.8386214442013129,0.8124344953292322,0.0016869815459142523,0.0014669856459330144
