candidate_size,total_cov,avg_recall_per_group,pos_density
6448,0.0,0.0,0.0
19344,0.0011725047633006009,0.001163151364764268,0.00041356492969396195
38688,0.005422834530265279,0.005505583126550868,0.000956368899917287
77376,0.035907958376080906,0.03722084367245657,0.003166356492969396
141856,0.0948263227319361,0.09196650124069479,0.004560963230318069
245024,0.20885241096291954,0.20357733664185276,0.00581575682382134
393328,0.3431042063608383,0.3326871381306865,0.005951775617296506
619008,0.42605891836435583,0.4135778535980149,0.004696223635235732
928512,0.46167375054961163,0.4468956782464847,0.0033925248138957816
1360528,0.4835116517660853,0.46806503308519437,0.00242479390354333
1934400,0.5157555327568518,0.5013311621174524,0.0018191687344913151
2688816,0.5711563828228052,0.559256100082713,0.0014493368084688577
3662464,0.5850798768869998,0.573446546732837,0.001089976584070178
4900480,0.5965117983291807,0.5851297559966915,0.0008305308867702756
6448000,0.6060383995309981,0.5942540322580645,0.0006412841191066998
