candidate_size,avg_group_count,total_cov,avg_cov_per_group,avg_group_density,pos_density
6448,1.0,0.0002931261908251502,0.00015508684863523573,8.615936035290874e-05,0.00031017369727047146
19344,3.0,0.0010259416678880258,0.0008529776674937966,0.0002056097480768866,0.0003618693134822167
38688,6.0,0.0029312619082515023,0.0023521505376344087,0.00022324747257782026,0.0005169561621174524
77376,11.999844913151366,0.011285358346768283,0.009033808933002482,0.0005800902610899954,0.000995140612076096
141856,21.996588089330025,0.03224388099076653,0.027980252274607112,0.0010571318208670625,0.0015508684863523574
245024,37.91826923076923,0.11637109775758464,0.10587262200165426,0.0024599240481571545,0.003240498889904662
393328,60.33498759305211,0.22292246812252675,0.20795854011579817,0.004089514091780788,0.0038670015864621893
619008,93.41454714640199,0.3258097611021545,0.3092044044665012,0.0044708702668032445,0.0035912298387096773
928512,137.85328784119108,0.4017294445258684,0.3836202440033085,0.003621218607231276,0.002952035084091536
1360528,199.4806141439206,0.4369045874248864,0.419652088502895,0.0027742815876077576,0.00219106111744852
1934400,281.3270781637717,0.45976843030924813,0.44307020264681557,0.0020830061269135882,0.0016216914805624483
2688816,388.54218362282876,0.4820460208119596,0.46555779569892475,0.0014960813775346006,0.001223214976405972
3662464,527.220688585608,0.498461087498168,0.48199700165425974,0.0010678340061345646,0.000928609810226121
4900480,702.5325682382133,0.5137036494210758,0.4970404259718776,0.0007779430772149242,0.0007152360585085543
6448000,922.5347394540943,0.5329034149201232,0.516633064516129,0.0006587599669550957,0.0005638957816377171
