candidate_size,avg_group_count,total_cov,avg_cov_per_group,avg_group_density,pos_density
2752,0.438953488372093,0.0023939808481532147,0.002543604651162791,0.0020893895348837207,0.002543604651162791
8256,1.430232558139535,0.005129958960328317,0.005268895348837209,0.003797238372093023,0.001816860465116279
16512,2.971656976744186,0.008549931600547196,0.008902616279069768,0.00420891588224437,0.0015140503875968993
33024,6.0792151162790695,0.021545827633378933,0.02252906976744186,0.006674500006308847,0.001907703488372093
60544,11.23982558139535,0.03864569083447333,0.04015261627906977,0.007407369943862372,0.0018664112050739959
104576,19.52252906976744,0.06155950752393981,0.06395348837209303,0.005699001063260542,0.0017212362301101591
167872,31.413517441860463,0.08823529411764706,0.09175145348837209,0.004821534337236573,0.0015368852459016393
264192,49.15261627906977,0.11046511627906977,0.11482558139534883,0.0036777450459657243,0.0012225956879844961
396288,73.87100290697674,0.13919288645690833,0.14453125,0.003124336669818951,0.00102703084625323
580672,108.2703488372093,0.17476060191518467,0.1805656492248062,0.002602946849575634,0.0008800148793122451
825600,154.50327034883722,0.2079343365253078,0.21520712209302326,0.002193296703977507,0.0007364341085271317
1147584,216.11627906976744,0.24110807113543092,0.24894016472868216,0.0018054380437739614,0.0006143341141040656
1563136,296.2325581395349,0.2753077975376197,0.2837330426356589,0.0014889926207482624,0.0005149903783164101
2091520,398.2692587209302,0.30437756497948015,0.31443798449612403,0.0012058296349733131,0.00042552784577723376
2752000,526.1188226744187,0.33652530779753764,0.3474442829457364,0.0009656175779471292,0.0003575581395348837
