candidate_size,total_cov,avg_recall_per_group,pos_density
2752,0.003419972640218878,0.003633720930232558,0.003633720930232558
8256,0.006839945280437756,0.007267441860465116,0.0024224806201550387
16512,0.009575923392612859,0.010174418604651164,0.001695736434108527
33024,0.014705882352941176,0.015625,0.0013020833333333333
60544,0.0253077975376197,0.0267078488372093,0.0012222515856236786
104576,0.035909712722298225,0.037609011627906974,0.0010040544675642595
167872,0.053009575923392616,0.055232558139534885,0.0009233225314525353
264192,0.07900136798905609,0.08175872093023256,0.0008743640988372093
396288,0.09439124487004104,0.09792877906976744,0.0006964631782945737
580672,0.11388508891928864,0.1184593023255814,0.0005734734927807781
825600,0.13645690834473323,0.14216933139534885,0.00048328488372093026
1147584,0.16552667578659372,0.17196584302325582,0.0004217556187608053
1563136,0.20177838577291382,0.21011991279069767,0.000377446364231903
2091520,0.22777017783857728,0.23700944767441862,0.0003184287025703794
2752000,0.2664158686730506,0.27728318798449614,0.00028306686046511626
