candidate_size,total_cov,avg_recall_per_group,pos_density
4987,0.0003419972640218878,0.0003633720930232558,0.00020052135552436334
14961,0.0010259917920656635,0.0010901162790697674,0.00020052135552436334
29922,0.003419972640218878,0.003633720930232558,0.00033420225920727226
59844,0.015047879616963064,0.015806686046511628,0.0007352449702559989
109714,0.03317373461012312,0.03470203488372093,0.0008841168857210566
189506,0.04993160054719562,0.05232558139534884,0.0007704241554357118
304207,0.06429548563611491,0.06722383720930232,0.0006180002432554149
478752,0.08139534883720931,0.08484738372093023,0.0004971258605708175
718128,0.09883720930232558,0.10301598837209303,0.00040243522046209035
1052257,0.11867305061559508,0.12336482558139535,0.00032976734771068285
1496100,0.1456908344733242,0.1517078488372093,0.00028474032484459595
2079579,0.18194254445964433,0.18922601744186046,0.00025582100992556665
2832616,0.21477428180574556,0.22203851744186046,0.00022170318885440172
3790120,0.22674418604651161,0.23292151162790697,0.00017492849830612223
4987000,0.2588919288645691,0.26501937984496127,0.00015179466613194305
