test_lp_loss,test_mrr,test_hits1,test_hits3,test_hits5,test_hits10,test_link_mrr,test_link_hits@1,test_link_hits@3,test_link_hits@5,test_link_hits@10,test_link_recall@1_perGroup,test_link_recall@3_perGroup,test_link_recall@5_perGroup,test_link_recall@10_perGroup,test_link_recall@1_total,test_link_recall@3_total,test_link_recall@5_total,test_link_recall@10_total,test_link_ndcg,test_link_map,candidate_size,avg_size_per_group
0.37600335478782654,0.01570461131632328,0.004759220872074366,0.005448055453598499,0.0067631034180521965,0.016970379278063774,0.12209522724151611,0.04784269630908966,0.12818585336208344,0.17126932740211487,0.27108773589134216,0.04330025240778923,0.12462033331394196,0.16757416725158691,0.267229288816452,0.0,0.0,0.0,0.0,0.24771565198898315,0.11988286674022675,8145000,789.4736938476562
0.40373995900154114,0.015724262222647667,0.004834654740989208,0.005479275248944759,0.006704054772853851,0.016695674508810043,0.12647399306297302,0.04957132786512375,0.1329207718372345,0.1775285303592682,0.28021660447120667,0.043440379202365875,0.12579739093780518,0.1680365800857544,0.268196165561676,0.0,0.0,0.0,0.0,0.24842248857021332,0.12205377221107483,6271650,607.8947143554688
0.43721428513526917,0.015796052291989326,0.004913026001304388,0.0054441639222204685,0.0067056166008114815,0.016598060727119446,0.1310688704252243,0.05145398899912834,0.13749833405017853,0.18417209386825562,0.29066523909568787,0.04404291883111,0.12638027966022491,0.1696760505437851,0.2699181139469147,0.0,0.0,0.0,0.0,0.2488708794116974,0.12410975992679596,4764825,461.84210205078125
0.4763461649417877,0.015709714964032173,0.004825256764888763,0.005376714747399092,0.006686427164822817,0.016543736681342125,0.1367974579334259,0.05369821563363075,0.14331012964248657,0.1929413378238678,0.30371543765068054,0.04442126303911209,0.12660449743270874,0.1705644577741623,0.2705673575401306,0.0,0.0,0.0,0.0,0.2488860934972763,0.12651774287223816,3559365,345.0
0.5240997672080994,0.015763796865940094,0.004903374705463648,0.0054081338457763195,0.006706085987389088,0.016440726816654205,0.1439424306154251,0.05660513415932655,0.15070666372776031,0.20298528671264648,0.3195125460624695,0.04462304711341858,0.12738919258117676,0.17137719690799713,0.2730596363544464,0.0,0.0,0.0,0.0,0.24841809272766113,0.1288280338048935,2614545,253.42105102539062
0.5817115306854248,0.015987664461135864,0.005169530399143696,0.005549642723053694,0.006613957695662975,0.016268815845251083,0.15277108550071716,0.06058993563055992,0.15964725613594055,0.21544776856899261,0.33921241760253906,0.04618648812174797,0.12386389821767807,0.1655646115541458,0.26752379536628723,0.0,0.0,0.0,0.0,0.24815772473812103,0.13193415105342865,1881495,182.38609313964844
0.6543821096420288,0.016076061874628067,0.0052244896069169044,0.005551020614802837,0.006530612241476774,0.016163265332579613,0.16493023931980133,0.0657142847776413,0.17257143557071686,0.233551025390625,0.3671836853027344,0.04638969525694847,0.1296308934688568,0.17276157438755035,0.2740027904510498,0.0,0.0,0.0,0.0,0.24685867130756378,0.13513827323913574,1319490,128.00640869140625
0.7499441504478455,0.01634938456118107,0.005434782709926367,0.005791161675006151,0.006771204527467489,0.015769779682159424,0.1797185242176056,0.07198859751224518,0.18888096511363983,0.2565039098262787,0.4026193916797638,0.049646105617284775,0.13174524903297424,0.17649824917316437,0.2770489752292633,0.0,0.0,0.0,0.0,0.2444935441017151,0.13869260251522064,904095,87.93843078613281
0.8846789598464966,0.016275480389595032,0.005386533681303263,0.005685785319656134,0.006583541166037321,0.014763092622160912,0.20032286643981934,0.08149626106023788,0.2127680778503418,0.28768080472946167,0.45406484603881836,0.045334555208683014,0.12383846938610077,0.16735532879829407,0.26833900809288025,0.0,0.0,0.0,0.0,0.24027971923351288,0.14243154227733612,602730,58.8603515625
1.1003446578979492,0.016096798703074455,0.005221629049628973,0.005453701596707106,0.006149918772280216,0.013344163075089455,0.2290831357240677,0.09526572376489639,0.2465769350528717,0.3381294906139374,0.529241144657135,0.052206553518772125,0.13301177322864532,0.17757269740104675,0.2790721654891968,0.0,0.0,0.0,0.0,0.23442882299423218,0.14694945514202118,382815,37.84626770019531
1.4258453845977783,0.015604613348841667,0.0049109021201729774,0.0050512137822806835,0.005752771161496639,0.011224918998777866,0.26618659496307373,0.11477480083703995,0.29409289360046387,0.4062017798423767,0.6224218010902405,0.04742814972996712,0.13050571084022522,0.1781650334596634,0.27944549918174744,0.0,0.0,0.0,0.0,0.22358350455760956,0.14856348931789398,236205,23.708219528198242
1.9064059257507324,0.013737264089286327,0.003444524947553873,0.003444524947553873,0.0038071065209805965,0.008158085867762566,0.3153967261314392,0.14557650685310364,0.35986220836639404,0.5029006600379944,0.724075436592102,0.049607254564762115,0.13206857442855835,0.18179884552955627,0.2630874216556549,0.0,0.0,0.0,0.0,0.2075231522321701,0.14698144793510437,138465,14.483786582946777
2.574843645095825,0.012262583710253239,0.002133333357051015,0.002133333357051015,0.002133333357051015,0.005866666790097952,0.38915759325027466,0.19813333451747894,0.47466665506362915,0.6295999884605408,0.8229333162307739,0.049596935510635376,0.12379409372806549,0.16730831563472748,0.22242310643196106,0.0,0.0,0.0,9.785692964214832e-05,0.18272866308689117,0.1392156332731247,73305,8.315938949584961
3.1615161895751953,0.01096206996589899,0.001270647975616157,0.001270647975616157,0.001270647975616157,0.0029648453928530216,0.47672170400619507,0.2689538300037384,0.6069462299346924,0.7458704113960266,0.9000423550605774,0.05059196427464485,0.11482023447751999,0.13874085247516632,0.17050465941429138,0.0,0.0,0.0,9.785692964214832e-05,0.155578151345253,0.12626656889915466,40725,5.157021522521973
3.947054147720337,0.008806298486888409,0.0,0.0,0.0,0.0,0.623272180557251,0.43934759497642517,0.756371021270752,0.8715596199035645,0.9816513657569885,0.04294992983341217,0.07981491833925247,0.09156450629234314,0.10186170041561127,0.0,0.0,0.0,9.785692964214832e-05,0.11401237547397614,0.1003820076584816,16290,2.890347719192505
