candidate_size,avg_group_count,total_cov,avg_cov_per_group,avg_group_density,pos_density
97740,9.65426642111725,0.0,0.0,0.0,0.0
48870,4.8022099447513815,0.0,0.0,0.0,0.0
24435,2.392879066912216,0.0,0.0,0.0,0.0
8145,0.7626764886433395,0.0,0.0,0.0,0.0
179190,17.67120933087784,0.0022017809961835796,0.0017416469350171008,0.000321089966577996,0.00025113008538422905
309510,30.442111724984652,0.0023485663959291517,0.0019503639393142155,0.00019716133402763992,0.00015508384220219056
496845,49.30030693677102,0.00474606125844016,0.003983215474928182,0.0001964159122009787,0.00019523191337338607
781920,78.06801718845918,0.01409139837557491,0.016357590639358596,0.00039609904209580884,0.00036832412523020257
1172880,117.86863106200123,0.017956747235541637,0.022457447402198783,0.00035521809790710904,0.0003129049860173249
1718595,173.26187845303866,0.0190331735003425,0.023771372887394986,0.0002616034236172493,0.00022634768517306288
2443500,246.92608962553714,0.020892455230453078,0.024949032619382527,0.00020228576771246515,0.00017474933497032945
3396465,343.3138121546961,0.025491731089147665,0.027371996395937463,0.00018053576538068714,0.0001533947795722906
4626360,468.03683241252304,0.030629220080242686,0.030705679628331563,0.00016246994399390978,0.0001353115624378561
6190200,626.9463474524248,0.03914277326548586,0.03668310544921963,0.00015759693796878828,0.00012923653516849214
8145000,826.1114794352363,0.05171738917702319,0.04405599516096754,0.00016073486484917418,0.0001297728667894414
