candidate_size,avg_group_count,total_cov,avg_cov_per_group,avg_group_density,pos_density
6448,0.9905397022332506,0.06800527627143485,0.06371484698097601,0.021107320099255582,0.07196029776674938
19344,2.965725806451613,0.08354096438516781,0.07926230355665839,0.021457690583987787,0.02946650124069479
38688,5.933777915632755,0.0948263227319361,0.09048025227460711,0.020584281055411012,0.016723531844499588
77376,11.84444789081886,0.12106111681078705,0.11637975599669148,0.018441495199631962,0.010675144747725393
141856,21.50093052109181,0.16488348233914701,0.1553582506203474,0.013358082609051448,0.0079305774870291
245024,36.86786600496278,0.2302506228931555,0.21959005376344087,0.009246751245738134,0.006411616821209351
393328,58.39872828784119,0.31408471346914846,0.30147590984284534,0.00727854744918462,0.005448378961070658
619008,89.24178039702234,0.3763740290194929,0.36299369313482216,0.00576534957841318,0.004148573200992556
928512,130.26349255583128,0.41917045287996485,0.4057201199338296,0.004936321925874052,0.0030801971326164875
1360528,187.5124069478908,0.44965557672578044,0.4364014681555004,0.0038126700358543076,0.002255006879682006
1934400,261.1068548387097,0.46548439103033856,0.45139319685690654,0.0028527837789572848,0.001641852770885029
2688816,356.4544044665012,0.5383262494503884,0.5272306658395368,0.0037814513499220713,0.0013660287650772683
3662464,474.4892990074442,0.5469734720797303,0.5354114971050455,0.0027045975013603595,0.0010189861251878518
4900480,626.6212779156327,0.5554741316136597,0.5439929693961952,0.002000228189533226,0.0007733936267467677
6448000,815.6775744416874,0.5633885387659388,0.5514888337468983,0.0014645244120640797,0.0005961538461538462
