candidate_size,avg_group_count,total_cov,avg_cov_per_group,avg_group_density,pos_density
8145,0.8529158993247391,0.017467462569723063,0.019626390132294152,0.01916350616166454,0.04383057090239411
24435,2.620135052179251,0.051179176044622764,0.05500465667708197,0.03176512759576022,0.04280744833231021
48870,5.270595457335789,0.09110480477541834,0.0937222443411163,0.036765132764141825,0.03810108450992429
97740,10.561571516267648,0.15828358939230844,0.16057400499833363,0.03683653337942836,0.03309801514221404
179190,19.414364640883978,0.24234269497993932,0.24841406674016603,0.03342490083699172,0.027641051397957476
309510,33.60687538367096,0.3365299931500147,0.3426732099738465,0.028121742806728686,0.022222222222222223
496845,54.05561694290976,0.4263137293277229,0.429162472673717,0.023329278741610903,0.01753665630126096
781920,85.22885205647637,0.5134553283100107,0.5149862890583166,0.018960114526309323,0.013420810313075507
1172880,127.8914671577655,0.5830805362559938,0.5825086317127818,0.015002359383054073,0.010160459723074824
1718595,187.31614487415592,0.6388589881593111,0.636917384176226,0.011780279040761295,0.00759748515502489
2443500,266.0742786985881,0.6851453175457481,0.6808708126447293,0.00924293054009957,0.005730714139553918
3396465,369.30313075506444,0.7235052353459243,0.7171987454140305,0.007478369318217005,0.004353644156498006
4626360,502.12989564149785,0.7572169488208239,0.7512397881848288,0.0060393795326037026,0.003345178498863037
6190200,670.6440761203193,0.7847147470398278,0.7774660442311828,0.005016690394092998,0.002590869438790346
8145000,880.7982811540822,0.8105489773950484,0.801629667091911,0.0039990257735286645,0.002033885819521179
