candidate_size,avg_group_count,total_cov,avg_cov_per_group,alpha,beta,temp,avg_group_density
814500,72.2,0.002103924063019865,0.0014306176737115964,0.0,0.0,1.0,4.879095710781011e-07
814500,83.18686310620012,0.013797827576083766,0.011034554548657486,0.1,0.0,1.0,0.00019730498309303393
814500,85.49453652547575,0.03302671494275369,0.026453096573229536,0.2,0.0,1.0,0.0008927758904604096
814500,86.24481276856967,0.04335062139152559,0.03590103020374683,0.3,0.0,1.0,0.002199073326872525
814500,88.3988950276243,0.052598101575496624,0.04538119979748255,0.4,0.0,1.0,0.002959958321042783
814500,88.25475751995089,0.056952735101281925,0.05084577092123264,0.5,0.0,1.0,0.003580063395925399
814500,87.77495395948435,0.05832273216557393,0.053790283819665566,0.6,0.0,1.0,0.0036547749161929
814500,87.13799877225291,0.05533809570408063,0.05094788962058134,0.7,0.0,1.0,0.0030604893180206007
814500,86.00773480662984,0.04892846658185732,0.046994200670013024,0.8,0.0,1.0,0.0025352449796666615
814500,82.31049723756907,0.02984636461493297,0.030319885050327067,0.9,0.0,1.0,0.0009602560088612896
814500,78.94941682013506,0.002691065662002153,0.0022982292674947288,1.0,0.0,1.0,8.553583628763711e-05
814500,77.29969306322897,0.010177121049026324,0.008468381782814272,0.0,0.1,1.0,0.00018073664057203872
814500,85.17704112952731,0.04560133085429103,0.03828620771510576,0.1,0.1,1.0,0.0023371465561857875
814500,85.69085328422345,0.0815148253253743,0.06891480984583534,0.2,0.1,1.0,0.004487019839887146
814500,87.46813996316759,0.11204618847245328,0.0928990045134908,0.3,0.1,1.0,0.00632900062005615
814500,88.77127071823205,0.1299050787748312,0.11250605616705704,0.4,0.1,1.0,0.007549970031482663
814500,88.48348680171884,0.13626577943047266,0.1234321671361121,0.5,0.1,1.0,0.008640463744644052
814500,88.02197667280541,0.14022898522360308,0.13383508184286838,0.6,0.1,1.0,0.007904689913506251
814500,87.41497851442602,0.14208826695371368,0.14085270938391647,0.7,0.1,1.0,0.008089637089869942
814500,86.57016574585636,0.13670613562970937,0.1394683289004837,0.8,0.1,1.0,0.006563773682884791
814500,83.70386740331492,0.08454839025344946,0.08494699985536432,0.9,0.1,1.0,0.002822104761284165
814500,79.21632903621854,0.021234954496526078,0.022645036513182896,1.0,0.1,1.0,0.0005713319350343196
814500,81.71982811540822,0.03273314414326255,0.02973428267391971,0.0,0.2,1.0,0.0016931067464676672
814500,85.62946593001841,0.10147763969077209,0.08574029712989224,0.1,0.2,1.0,0.007311321475353357
814500,86.59287906691222,0.15735394852725315,0.13235906762670857,0.2,0.2,1.0,0.009509648473176226
814500,88.61976672805402,0.19551815246110188,0.17048292070346366,0.3,0.2,1.0,0.013158608037350914
814500,88.90939226519338,0.21871024562090224,0.19869371256258753,0.4,0.2,1.0,0.015088715999311123
814500,88.54696132596685,0.23911341618553675,0.22962223921121896,0.5,0.2,1.0,0.015012574258693932
814500,88.06384284837324,0.24831196790292592,0.24820305658849356,0.6,0.2,1.0,0.013465307591054576
814500,87.47341927562923,0.24840982483608964,0.25664276061009084,0.7,0.2,1.0,0.011870279948532457
814500,86.64358502148558,0.23510128192582444,0.24880832410529963,0.8,0.2,1.0,0.010302012736534413
814500,84.75690607734806,0.1883745963401507,0.20032588270519017,0.9,0.2,1.0,0.006700887083661017
814500,81.06654389195826,0.074420197671005,0.07923888707062779,1.0,0.2,1.0,0.0022433280784635644
814500,84.15899324739104,0.06967413641256483,0.06313331205268638,0.0,0.3,1.0,0.003831585473547617
814500,86.297605893186,0.16665035717780605,0.14265719291307077,0.1,0.3,1.0,0.011976205378436657
814500,88.0317986494782,0.23627556512378903,0.20638235980426065,0.2,0.3,1.0,0.01712902695432716
814500,88.99558011049724,0.2791858303160779,0.2517283999013424,0.3,0.3,1.0,0.017331522419306376
814500,88.88704726826273,0.3102554065955573,0.2894232878527916,0.4,0.3,1.0,0.017528963221904576
814500,88.47894413750767,0.3283589392308445,0.31668940482599006,0.5,0.3,1.0,0.016094744840421737
814500,88.00220994475139,0.3332028574224484,0.3320142062138305,0.6,0.3,1.0,0.014765006159668732
814500,87.40883977900552,0.3310010764262648,0.3385142730822305,0.7,0.3,1.0,0.013812169170233876
814500,86.56365868631062,0.3132400430570506,0.3291782562457091,0.8,0.3,1.0,0.012271233774957984
814500,85.12216083486801,0.26142479694686366,0.28398902227642286,0.9,0.3,1.0,0.009317959382437735
814500,82.79066912216084,0.16254036598493002,0.17802676531565048,1.0,0.3,1.0,0.0053820971843125814
814500,86.04493554327809,0.11791760446227616,0.1072560772977927,0.0,0.4,1.0,0.005417050800778686
814500,87.59828115408226,0.234220569527351,0.20784469459551794,0.1,0.4,1.0,0.014484435921132494
814500,88.65586249232658,0.31876895978080044,0.2869918732554601,0.2,0.4,1.0,0.018089025745666024
814500,88.90742786985881,0.3637831490361092,0.33664139005861815,0.3,0.4,1.0,0.017878995492182977
814500,88.65586249232658,0.39098737645562187,0.3728259044967607,0.4,0.4,1.0,0.017553256185640742
814500,88.29208103130755,0.40767198356003526,0.39750249867813164,0.5,0.4,1.0,0.01685712067500427
814500,87.87673419275629,0.4125159017516391,0.41111725128123766,0.6,0.4,1.0,0.01611559122186528
814500,87.30632289748311,0.40796555435952636,0.41702503452434425,0.7,0.4,1.0,0.015264583413485676
814500,86.51307550644567,0.38819845386045604,0.4079839421163078,0.8,0.4,1.0,0.014043928695751816
814500,85.39742173112339,0.3309521479596829,0.3597167889759972,0.9,0.4,1.0,0.011359075755089465
814500,84.03670963781461,0.2334377140620413,0.26001062369922806,1.0,0.4,1.0,0.00780451313564863
814500,87.4865561694291,0.16665035717780605,0.15502757998776853,0.0,0.5,1.0,0.006272784894962498
814500,88.11639042357274,0.2870633134357569,0.2683912708682307,0.1,0.5,1.0,0.012778117183187696
814500,88.49907918968692,0.37151384675604265,0.35456619574888487,0.2,0.5,1.0,0.01608935347203811
