candidate_size,total_cov,avg_recall_per_group,pos_density
8145,0.020158528231725217,0.025958134355924412,0.05058317986494782
24435,0.05470202563851649,0.06584920195417433,0.04575404133415183
48870,0.1049026323515021,0.12249869222244912,0.04387149580519746
97740,0.18817888247382328,0.20773806713033233,0.03934929404542664
179190,0.26900870926705156,0.3018681580680903,0.030682515765388694
309510,0.343282121538311,0.3804684047657746,0.02266808826855352
496845,0.4201976710049907,0.4566974226672932,0.017285068784027212
781920,0.497602505137489,0.5249723667867796,0.013006445672191528
1172880,0.5583227321655739,0.581447662245276,0.009729043039356115
1718595,0.610431549075252,0.6277615412326137,0.007259418303905225
2443500,0.651922888736667,0.6660117929272918,0.005452834049519132
3396465,0.6864174576768765,0.697401941324365,0.004130470945527188
4626360,0.71469811136119,0.7229378557550377,0.0031573418411018597
6190200,0.7396027008513553,0.7442884976739232,0.0024419243320086587
8145000,0.7639690772091202,0.767083951783103,0.0019170042971147943
