candidate_size,avg_group_count,total_cov,avg_cov_per_group,avg_group_density,pos_density
1045,0.9770334928229665,0.02954048140043764,0.024581529581529583,0.02567528302672615,0.05167464114832536
3135,2.933971291866029,0.08533916849015317,0.07424546214019898,0.04785242886221471,0.049760765550239235
6270,5.821052631578947,0.1613785557986871,0.14604351788562314,0.04604840245540831,0.04704944178628389
12540,11.529186602870814,0.30361050328227573,0.28514543935596565,0.04485418461850576,0.04425837320574163
22990,20.999043062200958,0.42833698030634576,0.4112181970076707,0.03536225303503756,0.03405828621139626
39710,35.783732057416266,0.5399343544857768,0.5189291410344042,0.026412330583862872,0.02485520020146059
63745,56.747368421052634,0.6230853391684902,0.5979585326953748,0.019172925942501497,0.017868068083771275
100320,88.38660287081339,0.6925601750547046,0.6612470570365307,0.013710621475860892,0.012619617224880383
150480,131.74162679425837,0.7489059080962801,0.7182148553201185,0.009921809523879334,0.009097554492291335
220495,192.00287081339712,0.7954048140043763,0.765704032809296,0.007306096624569319,0.006594253837955509
313500,271.6162679425837,0.8446389496717724,0.8214775575301891,0.005485263184083898,0.004925039872408293
435765,375.3980861244019,0.8845733041575492,0.8683675096832991,0.004141970691072684,0.003710715638015903
593560,508.7224880382775,0.9195842450765864,0.9047402597402597,0.003187717151897622,0.0028320641552665275
794200,676.8995215311005,0.9447483588621444,0.9343176122123491,0.0024687770639303486,0.0021745152354570637
1045000,885.2066985645934,0.9589715536105032,0.9497881066302118,0.0019283912312681704,0.0016775119617224881
