test_lp_loss,test_mrr,test_hits1,test_hits3,test_hits5,test_hits10,test_link_mrr,test_link_hits@1,test_link_hits@3,test_link_hits@5,test_link_hits@10,test_link_recall@1_perGroup,test_link_recall@3_perGroup,test_link_recall@5_perGroup,test_link_recall@10_perGroup,test_link_recall@1_total,test_link_recall@3_total,test_link_recall@5_total,test_link_recall@10_total,test_link_ndcg,test_link_map,candidate_size,avg_size_per_group
0.45835262537002563,0.00871122907847166,0.0,0.0002518257242627442,0.0002518257242627442,0.004532863385975361,0.09206712990999222,0.03374464809894562,0.08738353103399277,0.12112817913293839,0.18055905401706696,0.02785388194024563,0.060273971408605576,0.07899543642997742,0.12034500390291214,0.0,0.0,0.0,0.0,0.15806299448013306,0.061717353761196136,5075000,887.858642578125
0.5097148418426514,0.008729864843189716,0.0,0.0002540005079936236,0.0002540005079936236,0.004572009202092886,0.10091390460729599,0.037338074296712875,0.09499619156122208,0.12979425489902496,0.21082042157649994,0.030289193615317345,0.06484018266201019,0.08432267606258392,0.18579401075839996,0.0,0.0,0.0,0.0,0.16407345235347748,0.06721628457307816,3907750,683.6511840820312
0.5552940368652344,0.008808508515357971,0.0,0.00025839792215265334,0.00025839792215265334,0.004651162773370743,0.1197289302945137,0.04005168005824089,0.10232558101415634,0.24315245449543,0.327390193939209,0.03181126341223717,0.06849315017461777,0.1459665149450302,0.21730086207389832,0.0,0.0,0.0,0.0,0.17642556130886078,0.08050138503313065,2968875,519.3972778320312
0.6049706935882568,0.008810163475573063,0.0,0.00026260505546815693,0.00026260505546815693,0.004464285913854837,0.1434343308210373,0.0446428582072258,0.21901260316371918,0.2644432783126831,0.34663864970207214,0.03129127621650696,0.12806054949760437,0.16783501207828522,0.21736258268356323,0.0,0.0,0.0,0.0,0.19289939105510712,0.1002478152513504,2217775,388.33392333984375
0.6648021936416626,0.008888570591807365,0.0,0.00026867276756092906,0.00026867276756092906,0.004567436873912811,0.16093802452087402,0.056958623230457306,0.24288016557693481,0.29957011342048645,0.36700698733329773,0.03418803587555885,0.14097477495670319,0.18620269000530243,0.2243080884218216,0.0,0.0,0.0,0.0,0.19977650046348572,0.10931391268968582,1629075,285.953125
0.724191427230835,0.00901214312762022,0.0,0.00027739250799641013,0.00027739250799641013,0.004438280127942562,0.176362544298172,0.06629680842161179,0.2646324634552002,0.31900137662887573,0.3966712951660156,0.04326677322387695,0.15745007991790771,0.2023041546344757,0.24946236610412598,0.0,0.0,0.0,0.0,0.20435447990894318,0.11619966477155685,1172325,206.75926208496094
0.8081363439559937,0.009255967102944851,0.0,0.0002914602227974683,0.0002914602227974683,0.004663363564759493,0.19199222326278687,0.07577965408563614,0.2888370752334595,0.3468376696109772,0.4252404570579529,0.04770872741937637,0.15044988691806793,0.1975831836462021,0.24450722336769104,0.0,0.0,0.0,0.0,0.20738117396831512,0.1221592053771019,822150,147.497314453125
0.8742697238922119,0.009178387932479382,0.0,0.0003239391080569476,0.0003239391080569476,0.004535147454589605,0.2138989418745041,0.09070295095443726,0.31843212246894836,0.38321995735168457,0.4651765525341034,0.056980520486831665,0.1652597337961197,0.2110389620065689,0.25487011671066284,0.0,0.0,0.0,0.0,0.20521868765354156,0.12615792453289032,563325,104.20365905761719
0.9393548369407654,0.008921071887016296,0.0,0.0004752851673401892,0.0004752851673401892,0.005703422240912914,0.2268923968076706,0.12595057487487793,0.25332698225975037,0.3322243392467499,0.4363117814064026,0.057775165885686874,0.12122992426156998,0.16072595119476318,0.21086305379867554,0.0,0.0,0.0,0.0,0.1729128360748291,0.10591229796409607,375550,87.23577117919922
1.124287724494934,0.008527453057467937,0.0,0.0009372071363031864,0.0009372071363031864,0.0037488285452127457,0.20489197969436646,0.09840674698352814,0.22492970526218414,0.2989690601825714,0.42268040776252747,0.025477707386016846,0.06093418225646019,0.07876858115196228,0.11337579786777496,0.0,0.0,0.0,0.0,0.09502854943275452,0.054553039371967316,238525,61.53895950317383
1.3148088455200195,0.007918464951217175,0.0,0.0,0.0,0.0,0.1739586740732193,0.06306306272745132,0.18018017709255219,0.28378379344940186,0.3963963985443115,0.004679457284510136,0.013102480210363865,0.018483856692910194,0.025503041222691536,0.0,0.0,0.0,0.0,0.02122362330555916,0.011040865443646908,147175,43.058807373046875
1.2824783325195312,0.00656503951177001,0.0,0.0,0.0,0.0,0.18275614082813263,0.0833333358168602,0.1875,0.2708333432674408,0.3333333432674408,0.0024676125030964613,0.0037014188710600138,0.004935225006192923,0.0055521284230053425,0.0,0.0,0.0,0.0,0.006174292881041765,0.0033469267655164003,86275,32.91682434082031
1.3393504619598389,0.004696554038673639,0.0,0.0,0.0,0.0,0.290436714887619,0.15789473056793213,0.2631579041481018,0.4736842215061188,0.5789473652839661,0.0,0.000776397529989481,0.001552795059978962,0.002329192589968443,0.0,0.0,0.0,0.0,0.003946747165173292,0.0026078911032527685,45675,21.585538864135742
1.3631556034088135,0.003406638978049159,0.0,0.0,0.0,0.0,0.3205637037754059,0.1666666716337204,0.3333333432674408,0.4166666567325592,0.5833333134651184,0.0,0.0009250693838112056,0.0009250693838112056,0.0018501387676224113,0.0,0.0,0.0,0.0,0.003160207998007536,0.002178235910832882,25375,14.368629455566406
1.3341219425201416,0.003299804637208581,0.0,0.0,0.0,0.0,0.4642857015132904,0.3333333432674408,0.3333333432674408,0.6666666865348816,1.0,0.0,0.0,0.0015290520386770368,0.0015290520386770368,0.0,0.0,0.0,0.0,0.0015708013670518994,0.0012403001310303807,10150,9.038290023803711
