candidate_size,avg_group_count,total_cov,avg_cov_per_group,avg_group_density,pos_density
1045,0.9674641148325359,0.027899343544857767,0.027522214627477785,0.031961722488038274,0.04880382775119617
3135,2.865071770334928,0.0886214442013129,0.0878753702437913,0.039714713781699426,0.05167464114832536
6270,5.796172248803828,0.14770240700218817,0.14803068276752487,0.03527579013224946,0.0430622009569378
12540,11.687081339712918,0.24562363238512036,0.25264449001291106,0.03303543921547948,0.03580542264752791
22990,21.44688995215311,0.36597374179431075,0.37943533075112024,0.030210119033892625,0.029099608525445846
39710,36.915789473684214,0.48358862144420134,0.4909178248651933,0.022786231592545867,0.02226139511458071
63745,59.235406698564596,0.6012035010940919,0.6067608414976836,0.01857592265790248,0.017240567887677465
100320,92.79425837320574,0.7084245076586433,0.6973418394471026,0.01394666778125038,0.012908692185007975
150480,138.28899521531102,0.7899343544857768,0.7786386420596947,0.010139522190942754,0.009595959595959595
220495,201.79043062200958,0.8408096280087527,0.8356671982987772,0.007305152591930287,0.00697067960724733
313500,286.5980861244019,0.8818380743982495,0.8764665451507557,0.005449814144851414,0.005141945773524721
435765,397.4698564593301,0.911925601750547,0.9078472696893749,0.004088182467024402,0.003825456381306438
593560,540.2755980861244,0.9332603938730853,0.9268629908103593,0.0030954170407789428,0.0028741828964215918
794200,721.4325358851675,0.9485776805251641,0.9412056656793499,0.002363072464706239,0.0021833291362377237
1045000,948.1531100478469,0.9562363238512035,0.9497163362952836,0.0018202467781819574,0.0016727272727272728
